"Location_ID","Location _Name"
L001,หลังตึกกิจกรรม
L002,ตึก REG
L003,หน้าไปรษณีย์
L004,หลัง BSc
L005,หลัง LRC
L006,ลานกันเกรา
L007,ลานศิลปศาสตร์ - วิทยาการจัดการ
L008,หน้าคณะพยาบาล
L009,ลานคอปเตอร์ (ประดู่)
L010,สถาบันวัฒนธรรมศึกษากัลยาณวัฒนา (หอประวัติ)
L011,หน้าตึกกิจกรรม
L012,อาคารร่มศรีตรัง
L013,ประตู 108
L014,กายภาพ
L015,ทางลงพัสดุ
L016,ทันตะ
L017,NML
L018,หน้าคณะสิ่งแวดล้อม
L101,หน้าพระรูป - ศิลปศาสตร์
L102,วงเวียนตึกกิจกรรม- แยกยิม
L103,แยกยิม - วิศวะฯ
L104,หน้าพระรูป - ไดโนเสาร์ 
L105,แยกพยาบาล3 - เภสัช
L106,แยกวาริช - วงเวียนศรีทรัพย์ 
L107,วงเวียนศรีทรัพย์ - ไบโอ
